161,Biskupice,69,Trenčín
162,Biskupice,1,Bánovce nad Bebravou
163,Biskupice,33,Lučenec
164,Biskupová,67,Topoľčany
165,Bitarová,79,Žilina
166,Blahová,15,Dunajská Streda
167,Blatná na Ostrove,15,Dunajská Streda
168,Blatná Polianka,61,Sobrance
169,Blatné,57,Senec
170,Blatné Remety,61,Sobrance
171,Blatné Revištia,61,Sobrance
172,Blatnica,35,Martin
173,Blažice,27,Košice-okolie
174,Blažkov,12,Čadca
175,Blažková,12,Čadca
176,Blažovce,71,Turčianske Teplice
177,Blesovce,67,Topoľčany
178,Blhovce,53,Rimavská Sobota
179,Bobot,69,Trenčín
180,Bobotská Lehota,69,Trenčín
181,Bobrov,39,Námestovo
182,Bobrovček,32,Liptovský Mikuláš
183,Bobrovec,32,Liptovský Mikuláš
184,Bobrovník,32,Liptovský Mikuláš
185,Bočiar,27,Košice-okolie
186,Bodice,32,Liptovský Mikuláš
187,Bodíky,15,Dunajská Streda
188,Bodiná,48,Považská Bystrica
189,Bodok,67,Topoľčany
190,Bodorová,71,Turčianske Teplice
191,Bodov,57,Senec
192,Bodovce,56,Sabinov
193,Bodovka - Krivosúd,69,Trenčín
194,Bodružal,65,Svidník
195,Bodza,22,Komárno
196,Bodzianske Lúky,22,Komárno
197,Bogliarka,4,Bardejov
198,Bohatá,22,Komárno
199,Bohdanovce,27,Košice-okolie
200,Bohdanovce nad Trnavou,70,Trnava
201,Boheľov,15,Dunajská Streda
202,Bohunice,20,Ilava
203,Bohunice,70,Trnava
204,Bohunice,30,Levice
205,Bohúňovo,54,Rožňava
206,Bojná,67,Topoľčany
207,Bojnice,50,Prievidza
208,Bojnice - kúpele,50,Prievidza
209,Bojničky,18,Hlohovec
210,Bokroš,22,Komárno
211,Bokša,64,Stropkov
212,Boľ,68,Trebišov
213,Boldog,57,Senec
214,Boleráz,70,Trnava
215,Bolešov,20,Ilava
216,Boliarov,27,Košice-okolie
217,Boľkovce,33,Lučenec
218,Borcová,71,Turčianske Teplice
219,Borčany,1,Bánovce nad Bebravou
220,Borčice,20,Ilava
221,Borda,27,Košice-okolie
222,Borinka,34,Malacky
223,Borov,36,Medzilaborce
224,Borová,70,Trnava
225,Borovce,45,Piešťany
226,Borský Mikuláš,58,Senica
227,Borský Peter,58,Senica
228,Borský Svätý Jur,58,Senica
229,Borša,68,Trebišov
230,Bory,30,Levice
231,Bošáca,41,Nové Mesto nad Váhom
232,Bošany,43,Partizánske
233,Bošianska Neporadza,69,Trenčín
234,Boťany,68,Trebišov
235,Bottovo,53,Rimavská Sobota
236,Božčice,68,Trebišov
237,Bôrka,54,Rožňava
238,Bracovce,37,Michalovce
239,Brádno,53,Rimavská Sobota
240,Branč,40,Nitra
241,Branovo,42,Nové Zámky
242,Bratislava,5,Bratislava I
243,Bratislava - Čunovo,9,Bratislava V
244,Bratislava - Devín,8,Bratislava IV
245,Bratislava - Devínska Nová Ves,8,Bratislava IV
246,Bratislava - Dúbravka,8,Bratislava IV
247,Bratislava - Jarovce,9,Bratislava V
248,Bratislava - Karlova Ves,8,Bratislava IV
249,Bratislava - Lamač,8,Bratislava IV
250,Bratislava - Nové Mesto,7,Bratislava III
251,Bratislava - Petržalka,9,Bratislava V
252,Bratislava - Podunajské Biskupice,6,Bratislava II
253,Bratislava - Rača,7,Bratislava III
254,Bratislava - Rusovce,9,Bratislava V
255,Bratislava - Ružinov,6,Bratislava II
256,Bratislava - Staré Mesto,5,Bratislava I
257,Bratislava - Vajnory,7,Bratislava III
258,Bratislava - Vrakuňa,6,Bratislava II
259,Bratislava - Záhorská Bystrica,8,Bratislava IV
260,Bratkovica,13,Detva
261,Braväcovo,10,Brezno
262,Brdárka,54,Rožňava
263,Brehov,68,Trebišov
264,Brehy,77,Žarnovica
265,Brekov,19,Humenné
266,Brestina,33,Lučenec
267,Brestov,19,Humenné
268,Brestov,49,Prešov
269,Brestov nad Laborcom,36,Medzilaborce
270,Brestovany,70,Trnava
271,Brestové,41,Nové Mesto nad Váhom
272,Brestovec,38,Myjava
273,Brestovec,22,Komárno
274,Bretejovce,49,Prešov
275,Bretka,54,Rožňava
276,Breza,39,Námestovo
277,Brezany,79,Žilina
278,Brezany,50,Prievidza
279,Brezina,68,Trebišov
280,Breziny,76,Zvolen
281,Breznica,64,Stropkov
282,Breznička,64,Stropkov
283,Breznička,46,Poltár
284,Brezno,10,Brezno
285,Brezolupy,1,Bánovce nad Bebravou
286,Brezov,4,Bardejov
287,Brezová pod Bradlom,38,Myjava
288,Brezovec,60,Snina
289,Brezovica,72,Tvrdošín
290,Brezovica,56,Sabinov
291,Brezovička,56,Sabinov
292,Brezovka,4,Bardejov
293,Brežany,49,Prešov
294,Brhlovce,30,Levice
295,Briestenné,48,Považská Bystrica
296,Brieštie,71,Turčianske Teplice
297,Brišovka,39,Námestovo
298,Brnice,32,Liptovský Mikuláš
299,Brodno,79,Žilina
300,Brodské,59,Skalica
301,Brodzany,43,Partizánske
302,Bršlica,11,Bytča
303,Bruchačka,10,Brezno
304,Brunovce,41,Nové Mesto nad Váhom
305,Brusnica,64,Stropkov
306,Brusník,52,Revúca
307,Brusník,73,Veľký Krtíš
308,Brusno,50,Prievidza
309,Brusno,2,Banská Bystrica
310,Brusno - kúpele,2,Banská Bystrica
311,Brutovce,31,Levoča
312,Bruty,42,Nové Zámky
